epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,381.579,1.07043,0.63954,1.46077,0.88181,0.9019,0.90326,0.56706,1.23308,0.74758,1.52391,0.000821206,0.000821206,0.000821206
43,392.745,1.05854,0.63139,1.43131,0.89335,0.85367,0.88543,0.52698,1.36633,0.79859,1.6397,0.000800577,0.000800577,0.000800577
44,403.142,1.08967,0.63751,1.48777,0.87374,0.86489,0.89007,0.51163,1.42133,0.85693,1.67768,0.000779948,0.000779948,0.000779948
45,413.825,1.03486,0.60667,1.40489,0.9204,0.87965,0.92119,0.56711,1.2536,0.77363,1.54148,0.000759318,0.000759318,0.000759318
46,424.327,1.0507,0.60426,1.43369,0.91123,0.8775,0.92159,0.58671,1.19985,0.74445,1.49739,0.000738689,0.000738689,0.000738689
47,434.997,1.06286,0.60523,1.44575,0.88882,0.88133,0.91525,0.58076,1.25596,0.75601,1.53314,0.00071806,0.00071806,0.00071806
48,443.394,1.04869,0.59257,1.44951,0.90542,0.87586,0.89222,0.51933,1.45322,0.83161,1.70007,0.000697431,0.000697431,0.000697431
49,451.737,1.02654,0.58219,1.41705,0.91686,0.8808,0.90176,0.56954,1.29987,0.80328,1.58254,0.000676802,0.000676802,0.000676802
50,460.186,0.9894,0.59788,1.38636,0.91258,0.89976,0.92709,0.59136,1.21288,0.73901,1.50855,0.000656173,0.000656173,0.000656173
51,468.902,1.0135,0.5948,1.41595,0.88709,0.87258,0.87984,0.5428,1.32863,0.74738,1.60828,0.000635544,0.000635544,0.000635544
52,477.213,1.02586,0.57536,1.41614,0.89763,0.86501,0.87776,0.52514,1.41471,0.75902,1.6774,0.000614915,0.000614915,0.000614915
53,485.561,1.01038,0.57433,1.41775,0.93165,0.88047,0.92,0.56476,1.3064,0.7392,1.59279,0.000594286,0.000594286,0.000594286
54,493.842,0.9715,0.53971,1.36999,0.91093,0.89428,0.9175,0.5674,1.2913,0.7428,1.58278,0.000573656,0.000573656,0.000573656
55,502.197,0.9516,0.54997,1.34579,0.87308,0.90808,0.89529,0.55423,1.3168,0.75338,1.60169,0.000553027,0.000553027,0.000553027
56,510.633,0.9784,0.55689,1.40114,0.9228,0.88043,0.90801,0.56652,1.28358,0.73059,1.56268,0.000532398,0.000532398,0.000532398
57,519.029,0.98455,0.54329,1.39505,0.9297,0.8851,0.91052,0.57523,1.275,0.72209,1.55801,0.000511769,0.000511769,0.000511769
58,527.349,1.01874,0.58777,1.41978,0.93089,0.8921,0.92405,0.5675,1.28949,0.73248,1.57784,0.00049114,0.00049114,0.00049114
59,535.8,1.00101,0.55129,1.43567,0.90451,0.87824,0.892,0.55455,1.28812,0.74107,1.57064,0.000470511,0.000470511,0.000470511
60,544.17,0.9495,0.53878,1.35218,0.90226,0.86427,0.88741,0.56608,1.27664,0.73649,1.55243,0.000449882,0.000449882,0.000449882
61,552.53,0.97871,0.56692,1.37943,0.91765,0.87514,0.91908,0.58016,1.26727,0.72605,1.54157,0.000429253,0.000429253,0.000429253
62,560.826,0.95602,0.56934,1.37009,0.91308,0.88977,0.91971,0.57931,1.26623,0.72101,1.54185,0.000408623,0.000408623,0.000408623
63,569.062,0.96161,0.54575,1.36648,0.92229,0.88379,0.9168,0.58514,1.27224,0.72123,1.55888,0.000387994,0.000387994,0.000387994
64,577.394,0.92891,0.55206,1.35651,0.90475,0.88232,0.90424,0.58539,1.28941,0.73205,1.58343,0.000367365,0.000367365,0.000367365
65,585.702,0.97627,0.56672,1.39591,0.90781,0.87635,0.9011,0.58871,1.28204,0.7392,1.57473,0.000346736,0.000346736,0.000346736
66,594.015,0.99154,0.56126,1.38536,0.91332,0.88107,0.91013,0.5873,1.2557,0.71456,1.54528,0.000326107,0.000326107,0.000326107
67,602.418,0.94792,0.55208,1.36356,0.92213,0.88107,0.91553,0.57363,1.28025,0.71786,1.57382,0.000305478,0.000305478,0.000305478
68,610.705,0.98953,0.54076,1.3731,0.92893,0.89528,0.92488,0.57807,1.27575,0.72715,1.57353,0.000284849,0.000284849,0.000284849
69,619.09,0.89453,0.5107,1.32323,0.92732,0.89829,0.91456,0.57693,1.27154,0.74629,1.56879,0.00026422,0.00026422,0.00026422
70,627.393,0.93341,0.52905,1.36322,0.92292,0.89807,0.91329,0.57732,1.25169,0.74204,1.54758,0.00024359,0.00024359,0.00024359
71,635.728,0.91661,0.49093,1.33732,0.91297,0.88574,0.90728,0.57756,1.2505,0.72568,1.53752,0.000222961,0.000222961,0.000222961
72,643.99,0.92378,0.49332,1.36129,0.91949,0.88574,0.90927,0.57839,1.28301,0.71876,1.56838,0.000202332,0.000202332,0.000202332
73,652.295,0.86633,0.46604,1.30875,0.91952,0.87236,0.90859,0.57953,1.29209,0.71547,1.58158,0.000181703,0.000181703,0.000181703
74,660.556,0.90682,0.47989,1.34561,0.92207,0.88282,0.91774,0.58576,1.27705,0.71595,1.57483,0.000161074,0.000161074,0.000161074
75,668.846,0.89017,0.48261,1.30911,0.91412,0.88319,0.90709,0.58832,1.25578,0.71121,1.55742,0.000140445,0.000140445,0.000140445
76,677.137,0.88407,0.47622,1.30521,0.91693,0.87384,0.914,0.58977,1.25493,0.7144,1.55593,0.000119816,0.000119816,0.000119816
77,685.405,0.86506,0.46285,1.30743,0.8999,0.87888,0.9081,0.586,1.25979,0.71747,1.55838,9.91865e-05,9.91865e-05,9.91865e-05
78,693.67,0.90593,0.47837,1.33181,0.90561,0.87865,0.90687,0.58322,1.26632,0.72413,1.56514,7.85574e-05,7.85574e-05,7.85574e-05
79,701.956,0.87087,0.4703,1.30178,0.89733,0.8652,0.89871,0.58146,1.26717,0.72205,1.56651,5.79283e-05,5.79283e-05,5.79283e-05
80,710.237,0.87162,0.46954,1.29953,0.91042,0.8643,0.90157,0.58533,1.2627,0.71928,1.56209,3.72991e-05,3.72991e-05,3.72991e-05
