zone,track_id,class_id,class_name,dwell_frames,dwell_seconds
front_vat_staging,2927,0,person,60,10.0
front_vat_staging,2952,0,person,17,2.833
front_vat_staging,2999,0,person,26,4.333
front_vat_staging,3059,0,person,44,7.333
front_vat_staging,3074,0,person,63,10.5
front_vat_staging,3077,0,person,2,0.333
front_vat_staging,3086,0,person,2,0.333
front_vat_staging,3088,0,person,29,4.833
front_vat_staging,3102,0,person,9,1.5
front_vat_staging,3103,0,person,4,0.667
left_transit_lane,4,0,person,4,0.667
left_transit_lane,28,0,person,10,1.667
left_transit_lane,44,0,person,11,1.833
left_transit_lane,49,0,person,17,2.833
left_transit_lane,70,0,person,4,0.667
left_transit_lane,143,0,person,14,2.333
left_transit_lane,183,0,person,8,1.333
left_transit_lane,199,0,person,11,1.833
left_transit_lane,222,0,person,13,2.167
left_transit_lane,224,0,person,2,0.333
left_transit_lane,225,0,person,72,12.0
left_transit_lane,239,0,person,7,1.167
left_transit_lane,280,0,person,28,4.667
left_transit_lane,308,0,person,78,13.0
left_transit_lane,325,0,person,2,0.333
left_transit_lane,330,0,person,7,1.167
left_transit_lane,333,0,person,12,2.0
left_transit_lane,354,0,person,15,2.5
left_transit_lane,361,0,person,7,1.167
left_transit_lane,489,0,person,5,0.833
left_transit_lane,503,0,person,3,0.5
left_transit_lane,508,0,person,33,5.5
left_transit_lane,534,0,person,5,0.833
left_transit_lane,564,0,person,6,1.0
left_transit_lane,582,0,person,22,3.667
left_transit_lane,603,0,person,6,1.0
left_transit_lane,619,0,person,21,3.5
left_transit_lane,632,0,person,6,1.0
left_transit_lane,647,0,person,7,1.167
left_transit_lane,657,0,person,23,3.833
left_transit_lane,666,0,person,5,0.833
left_transit_lane,667,0,person,45,7.5
left_transit_lane,699,0,person,36,6.0
left_transit_lane,723,0,person,1,0.167
left_transit_lane,789,0,person,90,15.0
left_transit_lane,822,1,vat,1,0.167
left_transit_lane,826,0,person,44,7.333
left_transit_lane,829,0,person,33,5.5
left_transit_lane,841,0,person,6,1.0
left_transit_lane,847,0,person,22,3.667
left_transit_lane,864,0,person,7,1.167
left_transit_lane,876,0,person,23,3.833
left_transit_lane,890,0,person,3,0.5
left_transit_lane,892,0,person,1,0.167
left_transit_lane,895,0,person,9,1.5
left_transit_lane,909,0,person,6,1.0
left_transit_lane,911,0,person,13,2.167
left_transit_lane,938,0,person,8,1.333
left_transit_lane,945,0,person,45,7.5
left_transit_lane,970,0,person,87,14.5
left_transit_lane,999,0,person,11,1.833
left_transit_lane,1002,0,person,11,1.833
left_transit_lane,1007,0,person,12,2.0
left_transit_lane,1027,0,person,8,1.333
left_transit_lane,1032,0,person,25,4.167
left_transit_lane,1035,0,person,105,17.5
left_transit_lane,1038,0,person,131,21.833
left_transit_lane,1039,0,person,61,10.167
left_transit_lane,1073,0,person,11,1.833
left_transit_lane,1089,0,person,145,24.167
left_transit_lane,1091,0,person,2,0.333
left_transit_lane,1097,0,person,3,0.5
left_transit_lane,1102,0,person,8,1.333
left_transit_lane,1104,0,person,34,5.667
left_transit_lane,1114,0,person,16,2.667
left_transit_lane,1121,0,person,136,22.667
left_transit_lane,1141,0,person,5,0.833
left_transit_lane,1154,0,person,40,6.667
left_transit_lane,1156,0,person,9,1.5
left_transit_lane,1157,0,person,9,1.5
left_transit_lane,1173,0,person,79,13.167
left_transit_lane,1195,0,person,89,14.833
left_transit_lane,1197,0,person,29,4.833
left_transit_lane,1225,0,person,7,1.167
left_transit_lane,1243,0,person,10,1.667
left_transit_lane,1350,0,person,5,0.833
left_transit_lane,1365,0,person,7,1.167
left_transit_lane,1367,0,person,5,0.833
left_transit_lane,1381,0,person,3,0.5
left_transit_lane,1393,0,person,1,0.167
left_transit_lane,1417,0,person,1,0.167
left_transit_lane,1418,0,person,28,4.667
left_transit_lane,1438,0,person,10,1.667
left_transit_lane,1454,0,person,7,1.167
left_transit_lane,1456,0,person,5,0.833
left_transit_lane,1487,0,person,73,12.167
left_transit_lane,1505,0,person,8,1.333
left_transit_lane,1521,0,person,5,0.833
left_transit_lane,1526,0,person,6,1.0
left_transit_lane,1533,0,person,112,18.667
left_transit_lane,1537,0,person,5,0.833
left_transit_lane,1543,0,person,3,0.5
left_transit_lane,1545,0,person,6,1.0
left_transit_lane,1579,0,person,11,1.833
left_transit_lane,1586,0,person,10,1.667
left_transit_lane,1644,0,person,2,0.333
left_transit_lane,1734,0,person,6,1.0
left_transit_lane,1757,0,person,26,4.333
left_transit_lane,1762,0,person,1,0.167
left_transit_lane,1766,0,person,3,0.5
left_transit_lane,1780,0,person,34,5.667
left_transit_lane,1792,0,person,40,6.667
left_transit_lane,1802,0,person,20,3.333
left_transit_lane,1809,0,person,32,5.333
left_transit_lane,1818,0,person,8,1.333
left_transit_lane,1820,0,person,13,2.167
left_transit_lane,1838,0,person,1,0.167
left_transit_lane,1914,0,person,12,2.0
left_transit_lane,1915,0,person,40,6.667
left_transit_lane,1922,0,person,3,0.5
left_transit_lane,1932,0,person,1,0.167
left_transit_lane,1955,0,person,7,1.167
left_transit_lane,1958,0,person,5,0.833
left_transit_lane,1969,0,person,8,1.333
left_transit_lane,1974,0,person,43,7.167
left_transit_lane,1975,0,person,5,0.833
left_transit_lane,1976,0,person,33,5.5
left_transit_lane,2069,0,person,7,1.167
left_transit_lane,2086,0,person,19,3.167
left_transit_lane,2095,0,person,28,4.667
left_transit_lane,2123,0,person,4,0.667
left_transit_lane,2182,0,person,3,0.5
left_transit_lane,2260,0,person,4,0.667
left_transit_lane,2265,0,person,9,1.5
left_transit_lane,2285,0,person,1,0.167
left_transit_lane,2349,0,person,4,0.667
left_transit_lane,2436,0,person,3,0.5
left_transit_lane,2447,0,person,19,3.167
left_transit_lane,2449,0,person,4,0.667
left_transit_lane,2461,0,person,8,1.333
left_transit_lane,2480,0,person,11,1.833
left_transit_lane,2487,0,person,5,0.833
left_transit_lane,2499,0,person,1,0.167
left_transit_lane,2501,0,person,5,0.833
left_transit_lane,2512,0,person,57,9.5
left_transit_lane,2523,0,person,13,2.167
left_transit_lane,2526,0,person,1,0.167
left_transit_lane,2555,0,person,17,2.833
left_transit_lane,2572,0,person,6,1.0
left_transit_lane,2579,0,person,7,1.167
