frame_id,relative_frame,timestamp_seconds,timestamp_hms,left_transit_lane_total,left_transit_lane_person,left_transit_lane_vat,rack_buffer_area_total,rack_buffer_area_person,rack_buffer_area_vat,machine_service_area_total,machine_service_area_person,machine_service_area_vat,front_vat_staging_total,front_vat_staging_person,front_vat_staging_vat,right_loading_area_total,right_loading_area_person,right_loading_area_vat
60,60,9.833,00:00:09,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
61,61,10.0,00:00:10,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
62,62,10.167,00:00:10,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
63,63,10.333,00:00:10,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
64,64,10.5,00:00:10,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
65,65,10.667,00:00:10,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
66,66,10.833,00:00:10,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
67,67,11.0,00:00:11,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
68,68,11.167,00:00:11,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
69,69,11.333,00:00:11,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
70,70,11.5,00:00:11,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
71,71,11.667,00:00:11,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
72,72,11.833,00:00:11,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
73,73,12.0,00:00:12,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
74,74,12.167,00:00:12,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
75,75,12.333,00:00:12,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
76,76,12.5,00:00:12,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
77,77,12.667,00:00:12,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
78,78,12.833,00:00:12,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
79,79,13.0,00:00:13,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
80,80,13.167,00:00:13,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
81,81,13.333,00:00:13,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
82,82,13.5,00:00:13,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
83,83,13.667,00:00:13,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
84,84,13.833,00:00:13,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
85,85,14.0,00:00:14,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
86,86,14.167,00:00:14,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
87,87,14.333,00:00:14,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
88,88,14.5,00:00:14,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
89,89,14.667,00:00:14,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
90,90,14.833,00:00:14,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
91,91,15.0,00:00:15,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
92,92,15.167,00:00:15,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0
93,93,15.333,00:00:15,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0
94,94,15.5,00:00:15,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0
95,95,15.667,00:00:15,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
96,96,15.833,00:00:15,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0
97,97,16.0,00:00:16,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
98,98,16.167,00:00:16,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
99,99,16.333,00:00:16,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
100,100,16.5,00:00:16,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
101,101,16.667,00:00:16,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
102,102,16.833,00:00:16,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
103,103,17.0,00:00:17,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
